UNH ID #,samplename ,Collection Date,Collection Time,Project,Sub_Project,NPOC (mg C/L),TDN (mg N/L),NH4 (ug N/L),PO4 (ug P/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Sub_ProjectA,Sub_ProjectB,Field Notes,Lab_Notes
198079,171,06-Sep-23,,QuEST,New Mexico,2.35,0.36,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198080,173,06-Sep-23,,QuEST,New Mexico,1.87,0.31,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198081,64,06-Sep-23,,QuEST,New Mexico,1.90,0.33,,,,,,Sante Fe Watershed,USF6,for DOC/TDN analysis,
198082,59,06-Sep-23,,QuEST,New Mexico,3.78,0.44,,,,,,Sante Fe Watershed,USF7,for DOC/TDN analysis,
198083,48,07-Sep-23,,QuEST,New Mexico,2.44,0.17,,,,,,Sante Fe Watershed,USF13,for DOC/TDN analysis,
198084,24,07-Sep-23,,QuEST,New Mexico,2.21,0.17,,,,,,Sante Fe Watershed,USF14,for DOC/TDN analysis,
198085,41,07-Sep-23,,QuEST,New Mexico,1.76,0.12,,,,,,Sante Fe Watershed,USF14,for DOC/TDN analysis,
198086,157,07-Sep-23,,QuEST,New Mexico,2.01,0.10,,,,,,Sante Fe Watershed,USF15,for DOC/TDN analysis,
198087,57,07-Sep-23,,QuEST,New Mexico,2.19,0.14,,,,,,Sante Fe Watershed,USF15,for DOC/TDN analysis,
198088,52,07-Sep-23,,QuEST,New Mexico,1.96,0.15,,,,,,Sante Fe Watershed,USF16,for DOC/TDN analysis,
198089,92,07-Sep-23,,QuEST,New Mexico,1.87,0.16,,,,,,Sante Fe Watershed,USF17,for DOC/TDN analysis,
198090,74,07-Sep-23,,QuEST,New Mexico,2.59,0.34,,,,,,Sante Fe Watershed,USF18,for DOC/TDN analysis,
198091,78,07-Sep-23,,QuEST,New Mexico,1.05,0.20,,,,,,Sante Fe Watershed,USF19,for DOC/TDN analysis,
198092,97,07-Sep-23,,QuEST,New Mexico,0.82,0.14,,,,,,Sante Fe Watershed,USF19,for DOC/TDN analysis,
